Title,Author,Genre,Description,Year,Average Rating,Number of Pages,Range
Cousin Pons,Honore de Balzac,Classics,"Mild, harmless and ugly to behold, the impoverished Pons is an ageing musician whose brief fame has fallen to nothing. Living a placid Parisian life as a bachelor in a shared apartment with his friend Schmucke, he maintains only two passions: a devotion to fine dining in the company of wealthy but disdainful relatives, and a dedication to the collection of antiques. When these relatives become aware of the true value of his art collection, however, their sneering contempt for the parasitic Pons rapidly falls away as they struggle to obtain a piece of the weakening man's inheritance. Taking its place in the Human Comedy as a companion to Cousin Bette, the darkly humorous Cousin Pons is among of the last and greatest of Balzac's novels concerning French urban society: a cynical, pessimistic but never despairing consideration of human nature.",2006,3.99,336,201 - 400
Cover Her Face,P.D. James,Fiction,"Headstrong and beautiful, the young housemaid Sally Jupp is put rudely in her place, strangled in her bed behind a bolted door. Coolly brilliant policeman Adam Dalgliesh of Scotland Yard must find her killer among a houseful of suspects, most of whom had very good reason to wish her ill. Cover Her Face is P. D. James's electric debut novel, an ingeniously plotted mystery that immediately placed her among the masters of suspense.",2001,3.94,250,201 - 400
Cracks in My Foundation,Marian Keyes,Fiction,"Go further under the covers and stay in bed a little longer with Marian Keyes in this winning follow-up to her smash essay collection, Under the Duvet. Written in the witty, forthright style that has earned her legions of devoted readers, Cracks in My Foundation offers an even deeper and more candid look into this beloved author's mind and heart, exploring such universal themes as friends and family, home, glamour and beauty, children, travel, and more. Marian's hilarious and thoughtful take on life makes her readers feel they are reading a friend, not just an author. Marian continues to entertain with her reports from the trenches, and throws in some original short fiction as well. Whether it's visiting Siberia, breaking it off with an old hairdresser, shopping (of course!), turning forty, living with her beloved husband, Himself (a man beyond description), or musing on the F word (feminism), Marian shares the joys, passions, and sorrows of her world and helps us feel good about our own. So grab a latte and a pillow and get ready to laugh your slippers off!",2005,3.81,368,201 - 400
Cravings,MaryJanice Davidson,Fiction,"Otherwordly pleasure and dangerous desire stalk the night as immortal creatures, ravenous and unforgiving, take their prey to the brink of ecstasy and fear, in this sensual collection of stories from four best-selling authors--Laurell K. Hamilton, MaryJanice Davidson, Eileen Wilks, and Rebecca York. Original.",2004,3.81,358,201 - 400
Crazy,Benjamin Lebert,Fiction,"Benjamin Lebert introduces himself on the first day at his new school: Hi, I'm Benjamin Lebert, I'm 16 and a cripple. Just so you know... He is paralysed down his left side, but nevertheless lives his life to the full as a rebellious schoolboy, smoking, drinking, running away, meeting girls and having sex - and all the while pondering the meaning of life.",2000,2.92,175,<201
Creature,John Saul,Fiction,"For Ellen and Blake Tanner, along with their son Mark, Silverdale, Colorado seems too good to be true, but the family is soon subjected to secret rituals and a hidden evil",1990,3.84,416,401 - 600
Crescent and Star,Stephen Kinzer,History,"Examining the glories of its past and its hopes for the future, the author explores Turkey's unrealized potential as a nation poised between Europe and Asia.",2002,3.83,272,201 - 400
Crescent Moon,Haruko Iida,Comics & Graphic Novels,"In this fantastical adventure, Mahiru must battle the powers that are awakened by the dark moon.",2005,4.22,169,<201
Crime and Punishment,Fyodor Dostoyevsky,Classics,A man must endure relentless physical and metal punishments as retribution for his act of murder,1993,4.2,564,401 - 600
Critique of Pure Reason,Immanuel Kant,Philosophy,"In his monumental Critique of Pure Reason, German philosopher Immanuel Kant (1724–1804) argues that human knowledge is limited by the capacity for perception. He attempts a logical designation of two varieties of knowledge: a posteriori, the knowledge acquired through experience; and a priori, knowledge not derived through experience. Kant maintains that the most practical forms of human knowledge employ the a priori judgments that are possible only when the mind determines the conditions of its own experience. This accurate translation by J. M. Meiklejohn offers a simple and direct rendering of Kant's work that is suitable for readers at all levels.",2003,3.94,480,401 - 600
Crooked House,Agatha Christie,Mystery,"In the sprawling, half-timbered mansion in the affluent suburb of Swinly Dean, Aristide Leonides lies dead from barbiturate poisoning. An accident? Not likely. In fact, suspicion has already fallen on his luscious widow, a cunning beauty fifty years his junior, set to inherit a sizeable fortune, and rumored to be carrying on with a strapping young tutor comfortably ensconced in the family estate. But criminologist Charles Hayward is casting his own doubts on the innocence of the entire Leonides brood. He knows them intimately. And he's certain that in a crooked house such as Three Gables, no one's on the level...",2002,4.02,276,201 - 400
Cross Stitch,Diana Gabaldon,History,"In 1945, Claire Randall is back from the war and reunited with her husband on a second honeymoon in Scotland. Innocently she walks through a stone circle in the highlands, and finds herself in a violent skirmish taking place in 1743. Suddenly she is a Sassenach, an outlander, in a country torn by war and by clan feuds. -- back cover.",1992,4.22,864,801 - 1000
Crossing to Safety,Wallace Stegner,Classics,"Two young couples, Sid and Charity and Larry and Sally, from different backgrounds--East and West, rich and poor--befriend each other in 1937 Madison, Wisconsin, in an evocative and insightful portrait of family and friendship. Reprint. 25,000 first printing.",2002,4.16,368,201 - 400
Crossroads and Other Tales of Valdemar,Mercedes Lackey,Fiction,"Presents a collection of original stories of the land of Valdemar, featuring contributions by Tanya Huff, Mickey Zucker Reichert, Fiona Patton, Judith Tarr, and Rosemary Edghill, as well as a novella by Mercedes Lackey.",2005,3.86,338,201 - 400
Crossroads of Twilight,Robert Jordan,Fantasy,"Robert Jordan's epic fantasy saga The Wheel of Time is now firmly established as a classic of the genre and a world-wide bestseller. Now the series continues with the eagerly-awaited tenth volume ... Rand al'Thor, the Dragon Reborn, must fight on against the Dark One in a struggle that has drawn an entire world into its vortex - claiming the souls of friends and enemies alike. He has cleansed the taint of madness from the male half of the True Source, so may now draw on its power as a weapon of awesome potential. This could tip the balance in a perilous battle against evil as Rand must gamble with himself at stake. He cannot be sure which of his allies are really enemies - even among lifelong companions.",2003,3.83,818,801 - 1000
Crucible of War,Fred Anderson,History,"Demonstrating that the decisive ""Seven Years' War"" changed the balance of power between the British and French in North America, the author argues that this conflict destroyed the delicate balance of power that gave Native people a voice in the affairs of the continent while creating an ""American generation."" Reprint. 25,00 first printing.",2000,4.15,912,801 - 1000
